Grades Report for 202208,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3110,5,Intermediate Financial Acc,22%,28%,25%,9%,13%,0%,0%,3%,0%,0%,0%,0%,"Philo, Annieka C",
ACCT,3110,6,Intermediate Financial Acc,28%,31%,25%,6%,3%,0%,0%,6%,0%,0%,0%,0%,"Philo, Annieka C",
ACCT,3110,7,Intermediate Financial Acc,13%,45%,26%,6%,0%,0%,0%,10%,0%,0%,0%,0%,"Ledbetter, John",
,,,,,,,,,,,,,,,,Howard,
ACCT,3110,8,Intermediate Financial Acc,17%,48%,21%,10%,3%,0%,0%,0%,0%,0%,0%,0%,"Ledbetter, John",
,,,,,,,,,,,,,,,,Howard,
ACCT,3110,9,Intermediate Financial Acc,18%,15%,33%,18%,3%,0%,0%,12%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3110,10,Intermediate Financial Acc,3%,23%,43%,17%,7%,0%,0%,7%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3110,11,Intermediate Financial Acc,11%,43%,29%,11%,4%,0%,0%,4%,0%,0%,0%,0%,"Ledbetter, John",
,,,,,,,,,,,,,,,,Howard,
ACCT,3110,102,Intermediate Fin Acct I (HO,50%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,"Hawkins, Erin",H
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,108,Intermediate Fin Acct I (HO,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Ledbetter, John",H
,,,,,,,,,,,,,,,,Howard,
ACCT,3120,1,Intermediate Financial Acc,12%,74%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy",
,,,,,,,,,,,,,,,,Michael,
ACCT,3120,2,Intermediate Financial Acc,21%,56%,21%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Vinson, Jeremy",
,,,,,,,,,,,,,,,,Michael,
ACCT,3120,3,Intermediate Financial Acc,52%,39%,6%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Knause, Terry Daniel",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Thursday, January 5, 2023",,,,,,,,,,,,,,,,Page 3 of 204,
Grades Report for 202208,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3120,4,Intermediate Financial Acc,29%,33%,38%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,5,Intermediate Financial Acc,43%,35%,14%,3%,3%,0%,0%,3%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,6,Intermediate Financial Acc,28%,41%,18%,8%,3%,0%,0%,3%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,7,Intermediate Financial Acc,26%,51%,23%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Gibson, Mary",
,,,,,,,,,,,,,,,,Robinson,
ACCT,3120,8,Intermediate Financial Acc,46%,34%,17%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Gibson, Mary",
,,,,,,,,,,,,,,,,Robinson,
ACCT,3120,104,Intermediate Fin Acct II (H,67%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",H
ACCT,3130,1,Analytics for Acct Dec Mak,39%,45%,6%,6%,0%,0%,0%,3%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3130,2,Analytics for Acct Dec Mak,37%,43%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3130,3,Analytics for Acct Dec Mak,47%,41%,9%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3130,4,Analytics for Acct Dec Mak,39%,39%,18%,4%,0%,0%,0%,0%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,3130,5,Analytics for Acct Dec Mak,48%,28%,21%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,3130,6,Analytics for Acct Dec Mak,48%,42%,6%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Hawk, Holly",
,,,,,,,,,,,,,,,,Rhiannion,
ACCT,3220,1,Accounting Information Sy,7%,55%,17%,3%,7%,0%,0%,10%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3220,2,Accounting Information Sy,17%,31%,31%,7%,3%,0%,0%,10%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3220,3,Accounting Information Sy,46%,40%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Hawk, Holly",
,,,,,,,,,,,,,,,,Rhiannion,
ACCT,3220,4,Accounting Information Sy,36%,48%,12%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Hawk, Holly",
,,,,,,,,,,,,,,,,Rhiannion,
ACCT,4040,1,Individual Taxation,56%,36%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Yazzie, Courtney",
,,,,,,,,,,,,,,,,Elaine,
ACCT,4040,2,Individual Taxation,37%,51%,9%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Yazzie, Courtney",
,,,,,,,,,,,,,,,,Elaine,
ACCT,4040,3,Individual Taxation,52%,36%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Gibson, Mary",
,,,,,,,,,,,,,,,,Robinson,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Thursday, January 5, 2023",,,,,,,,,,,,,,,,Page 4 of 204,
Grades Report for 202208,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,4040,4,Individual Taxation,65%,33%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Gibson, Mary",
,,,,,,,,,,,,,,,,Robinson,
ACCT,4100,1,Reporting and Mgmt Contr,37%,43%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"McPhee, Gregory",
,,,,,,,,,,,,,,,,Patrick,
ACCT,4100,3,Reporting and Mgmt Contr,29%,51%,17%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"McPhee, Gregory",
,,,,,,,,,,,,,,,,Patrick,
ACCT,4150,1,Auditing,26%,59%,12%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,4150,2,Auditing,21%,53%,21%,0%,5%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,8510,1,Tax Research,87%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Garrison J, David",
,,,,,,,,,,,,,,,,Walter,
ACCT,8530,1,Adv Acct Problems,68%,29%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Pearse, Suzanne",
ACCT,8530,2,Adv Acct Problems,74%,26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Pearse, Suzanne",
ACCT,8530,3,Adv Acct Problems,33%,33%,17%,0%,0%,0%,0%,17%,0%,0%,0%,0%,"Welton, Ralph",
,,,,,,,,,,,,,,,,Edward,
ACCT,8570,1,CPA Exam Review-B,0%,0%,0%,0%,0%,99%,1%,0%,0%,0%,0%,0%,"Pearse, Suzanne",
ACCT,8630,1,Forensics Analysis,56%,41%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Goodson, Brian",
,,,,,,,,,,,,,,,,Matthew,
ACCT,8630,2,Forensics Analysis,58%,35%,3%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Goodson, Brian",
,,,,,,,,,,,,,,,,Matthew,
ACCT,8650,1,Tax & Bus Decisions,41%,56%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R",
ACCT,8650,2,Tax & Bus Decisions,29%,62%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R",
ACCT,8680,1,Advanced Accounting Anal,60%,37%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Cussatt, Marc A",
ACCT,8680,2,Advanced Accounting Anal,59%,41%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Cussatt, Marc A",
ACCT,8680,3,Advanced Accounting Anal,50%,46%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Cussatt, Marc A",
ACCT,8720,1,Tax of Flowthroughs,53%,33%,7%,0%,0%,0%,0%,7%,0%,0%,0%,0%,"Garrison J, David",
,,,,,,,,,,,,,,,,Walter,
AGED,1020,1,Freshman Seminar,62%,31%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,"DiBenedetto,",
,,,,,,,,,,,,,,,,Catherine A,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Thursday, January 5, 2023",,,,,,,,,,,,,,,,Page 5 of 204,
Grades Report for 202208,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AGED,2000,1,Agr Appl of Ed Tech,75%,17%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Layfield, Kevin D",
AGED,2010,1,Intro to Agric Educ,33%,53%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Fravel, Philip M",
AGED,2040,1,App Ag Calculations,50%,40%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Fravel, Philip M",
AGED,4000,1,Supervised Field Experienc,60%,0%,0%,0%,0%,0%,0%,20%,20%,0%,0%,0%,"Fravel, Philip M",
AGED,4010,1,Instr Methods Ag Ed,20%,40%,0%,0%,20%,0%,0%,20%,0%,0%,0%,0%,"DiBenedetto,",
,,,,,,,,,,,,,,,,Catherine A,
AGED,4030,1,Prin Adult/Ext Ed,82%,12%,0%,6%,0%,0%,0%,0%,0%,0%,0%,0%,"Layfield, Kevin D",
AGED,4230,1,Curriculum,20%,20%,20%,0%,20%,0%,0%,20%,0%,0%,0%,0%,"DiBenedetto,",
,,,,,,,,,,,,,,,,Catherine A,
AGED,6230,1,Curriculum,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"DiBenedetto,",
,,,,,,,,,,,,,,,,Catherine A,
AGM,1010,1,Intro Ag Mech & Bus,72%,17%,4%,6%,0%,0%,0%,0%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2050,1,Prin of Fabrication,13%,71%,13%,1%,1%,0%,0%,0%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2200,1,Calc for Mechanized Agric,44%,41%,11%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Turner, Aaron Paul",
AGM,2210,1,Land Measurements,51%,23%,14%,10%,1%,0%,0%,1%,0%,0%,0%,0%,"Teddy, Brennan",
,,,,,,,,,,,,,,,,Edward,
AGM,3010,1,Soil Water Conserv,54%,30%,14%,0%,0%,0%,0%,2%,0%,0%,0%,0%,"Sawyer, Calvin B",
AGM,3050,1,Agricultural Safety,63%,26%,4%,0%,4%,0%,0%,4%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,4000,1,Seminar in Ag Mech & Busi,66%,31%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Turner, Aaron Paul",
AGM,4040,1,Grain Handling and Storag,53%,38%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Turner, Aaron Paul",
AGM,4060,1,Mech & Hydraulic Sys,35%,51%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Koc, Ali Bulent",
AGM,4600,1,Electrical Systems,89%,7%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"McLamore, Eric S",
AGRB,2020,1,Agricultural Economics,3%,21%,21%,17%,14%,0%,0%,23%,0%,0%,0%,0%,"Vertino De Queiroz,",
,,,,,,,,,,,,,,,,Pedro Wesley,
AGRB,2050,1,Agriculture and Society,25%,33%,27%,8%,2%,0%,0%,4%,0%,0%,0%,0%,"Vassalos, Michael",
AGRB,3020,1,Economics of Farm Manag,23%,24%,21%,15%,8%,0%,0%,8%,0%,0%,0%,0%,"Vassalos, Michael",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Thursday, January 5, 2023",,,,,,,,,,,,,,,,Page 6 of 204,
Grades Report for 202208,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AGRB,3090,1,Econ of Agricultural Marke,11%,19%,46%,15%,2%,0%,0%,7%,0%,0%,0%,0%,"Vertino De Queiroz,",
,,,,,,,,,,,,,,,,Pedro Wesley,
AGRB,3570,1,Natural Resources Econom,19%,17%,29%,15%,12%,0%,0%,8%,0%,0%,0%,0%,"Willis, David Brian",
AGRB,4080,1,Quant Agribusiness Analysi,15%,12%,31%,31%,12%,0%,0%,0%,0%,0%,0%,0%,"Hassett, Anastasia",
,,,,,,,,,,,,,,,,Thayer,
AGRB,4090,1,Commodity Futures Marke,24%,20%,32%,16%,8%,0%,0%,0%,0%,0%,0%,0%,"Hassett, Anastasia",
,,,,,,,,,,,,,,,,Thayer,
AGRB,4120,1,Reg Econ Devel Theory & P,20%,23%,23%,17%,10%,0%,0%,7%,0%,0%,0%,0%,"De Figueiredo Silva,",
,,,,,,,,,,,,,,,,Felipe,
AGRB,4520,1,Agricultural Policy,18%,7%,32%,36%,7%,0%,0%,0%,0%,0%,0%,0%,"Vassalos, Michael",
AGRB,8080,1,Quantitative Agribusiness I,25%,63%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"De Figueiredo Silva,",
,,,,,,,,,,,,,,,,Felipe,
AGSC,6100,2,Newman Seminar,80%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,"Karthikeyan,",
,,,,,,,,,,,,,,,,Raghupathy,
AL,3440,400,Athletics and Women,96%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Soles, Misty B",
AL,3440,401,Athletics and Women,93%,0%,4%,4%,0%,0%,0%,0%,0%,0%,0%,0%,"Soles, Misty B",
AL,3490,400,Principles of Coaching,83%,13%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,3490,401,Principles of Coaching,77%,15%,4%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,3490,402,Principles of Coaching,76%,20%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,3490,403,Principles of Coaching,60%,24%,12%,0%,4%,0%,0%,0%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,3490,404,Principles of Coaching,92%,4%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3490,405,Principles of Coaching,68%,20%,8%,0%,4%,0%,0%,0%,0%,0%,0%,0%,"Connor, Clyde Keith",
AL,3490,406,Principles of Coaching,52%,32%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Plumblee, John T",
AL,3490,407,Principles of Coaching,44%,20%,32%,4%,0%,0%,0%,0%,0%,0%,0%,0%,"Plumblee, John T",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Thursday, January 5, 2023",,,,,,,,,,,,,,,,Page 7 of 204,
Grades Report for 202208,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AL,3490,408,Principles of Coaching,80%,12%,4%,4%,0%,0%,0%,0%,0%,0%,0%,0%,"Yeargin, Richard",
,,,,,,,,,,,,,,,,Donell,
AL,3490,409,Principles of Coaching,56%,20%,20%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Plumblee, John T",
AL,3490,410,Principles of Coaching,84%,4%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Whitrow, Nicholas",
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,411,Principles of Coaching,80%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Neuder, Joel P",
AL,3490,412,Principles of Coaching,88%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Neuder, Joel P",
AL,3490,413,Principles of Coaching,92%,0%,0%,4%,4%,0%,0%,0%,0%,0%,0%,0%,"Whitrow, Nicholas",
,,,,,,,,,,,,,,,,Philip Edward,
AL,3500,400,Sci Basis I/Ex Phy,32%,20%,20%,24%,0%,0%,0%,4%,0%,0%,0%,0%,"Godfrey, Michael G",
AL,3500,401,Sci Basis I/Ex Phy,28%,36%,16%,16%,4%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G",
AL,3530,400,Athletic Injuries,40%,40%,16%,0%,4%,0%,0%,0%,0%,0%,0%,0%,"Colbert, Isaac Sean",
AL,3530,401,Athletic Injuries,36%,40%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Colbert, Isaac Sean",
AL,3600,400,Hgh Sch Athl Ethical/Legal I,40%,44%,12%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Connor, Clyde Keith",
AL,3610,400,Admin/Org of Athletic Pro,85%,8%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Oates, Henry C.",
AL,3610,401,Admin/Org of Athletic Pro,78%,19%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,"Oates, Henry C.",
AL,3610,402,Admin/Org of Athletic Pro,72%,12%,12%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Moore, Edward F",
AL,3620,400,Psychology of Coaching,62%,19%,12%,4%,4%,0%,0%,0%,0%,0%,0%,0%,"Carter, Natalie Anne",
AL,3620,401,Psychology of Coaching,44%,32%,16%,4%,0%,0%,0%,4%,0%,0%,0%,0%,"Carter, Natalie Anne",
AL,3620,402,Psychology of Coaching,48%,20%,28%,4%,0%,0%,0%,0%,0%,0%,0%,0%,"Carter, Natalie Anne",
AL,3720,400,Coaching Basketball,74%,4%,4%,0%,9%,0%,0%,9%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3740,400,Coaching Football,78%,19%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3750,400,Coaching Soccer,96%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Hickey, Justin M",
AL,3760,400,Coaching Strength/Conditi,68%,8%,16%,0%,8%,0%,0%,0%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3760,401,Coaching Strength/Conditi,69%,19%,0%,8%,4%,0%,0%,0%,0%,0%,0%,0%,"Fry, Edmond H",
