Grades Report for 202308,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
ACCT,2020,400,Managerial Accounting Concepts,22%,39%,23%,11%,3%,0%,0%,2%,0%,"McCorkle, Emily Suzanne",
ACCT,2020,410,Managerial Accounting Concepts,12%,41%,25%,14%,4%,0%,0%,4%,0%,"McCorkle, Emily Suzanne",
ACCT,3030,1,Cost Accounting,30%,32%,23%,11%,2%,0%,0%,2%,0%,"Garrett, Jace B",
ACCT,3030,2,Cost Accounting,26%,37%,30%,2%,0%,0%,0%,4%,0%,"Garrett, Jace B",
ACCT,3030,3,Cost Accounting,30%,43%,13%,13%,0%,0%,0%,3%,0%,"Weaver, Andy P",
ACCT,3030,4,Cost Accounting,36%,31%,18%,8%,2%,0%,0%,5%,0%,"Weaver, Andy P",
ACCT,3030,5,Cost Accounting,39%,23%,23%,8%,2%,0%,0%,5%,0%,"Weaver, Andy P",
ACCT,3030,6,Cost Accounting,38%,38%,23%,3%,0%,0%,0%,0%,0%,"Weaver, Andy P",
ACCT,3030,7,Cost Accounting,64%,33%,0%,2%,0%,0%,0%,0%,0%,"Radtke, Robin R",
ACCT,3030,8,Cost Accounting,45%,26%,19%,5%,0%,0%,0%,5%,0%,"Radtke, Robin R",
ACCT,3110,1,Intermediate Financial Acct I,13%,30%,40%,8%,8%,0%,0%,3%,0%,"Hawkins, Erin Michelle",
ACCT,3110,2,Intermediate Financial Acct I,31%,23%,20%,9%,9%,0%,0%,9%,0%,"Hawkins, Erin Michelle",
ACCT,3110,3,Intermediate Financial Acct I,13%,28%,33%,18%,10%,0%,0%,0%,0%,"Hawkins, Erin Michelle",
ACCT,3110,4,Intermediate Financial Acct I,38%,18%,23%,13%,3%,0%,0%,5%,0%,"Philo, Annieka C",
ACCT,3110,5,Intermediate Financial Acct I,43%,15%,33%,3%,5%,0%,0%,3%,0%,"Philo, Annieka C",
ACCT,3110,6,Intermediate Financial Acct I,38%,18%,28%,5%,0%,0%,0%,13%,0%,"Philo, Annieka C",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Thursday, February 1, 2024",,,,,,,,,,,,,Page 2 of 135,
Grades Report for 202308,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
ACCT,3110,7,Intermediate Financial Acct I,20%,27%,34%,5%,5%,0%,0%,10%,0%,"Goodson, Brian Matthew",
ACCT,3110,8,Intermediate Financial Acct I,19%,45%,12%,12%,2%,0%,0%,10%,0%,"Goodson, Brian Matthew",
ACCT,3110,9,Intermediate Financial Acct I,23%,25%,38%,13%,3%,0%,0%,0%,0%,"Ledbetter, John Howard",
ACCT,3110,10,Intermediate Financial Acct I,18%,40%,33%,5%,0%,0%,0%,5%,0%,"Ledbetter, John Howard",
ACCT,3120,1,Intermediate Financial Acct II,31%,44%,17%,6%,3%,0%,0%,0%,0%,"Gibson, Mary Robinson",
ACCT,3120,2,Intermediate Financial Acct II,45%,45%,8%,3%,0%,0%,0%,0%,0%,"Gibson, Mary Robinson",
ACCT,3120,3,Intermediate Financial Acct II,32%,35%,24%,3%,5%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,4,Intermediate Financial Acct II,35%,39%,19%,0%,0%,0%,0%,6%,0%,"Knause, Terry Daniel",
ACCT,3120,5,Intermediate Financial Acct II,32%,32%,24%,0%,5%,0%,0%,8%,0%,"Knause, Terry Daniel",
ACCT,3120,6,Intermediate Financial Acct II,33%,45%,19%,2%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,7,Intermediate Financial Acct II,22%,44%,28%,0%,0%,0%,0%,6%,0%,"Gibson, Mary Robinson",
ACCT,3120,8,Intermediate Financial Acct II,46%,28%,21%,0%,0%,0%,0%,5%,0%,"Gibson, Mary Robinson",
ACCT,3120,9,Intermediate Financial Acct II,38%,43%,10%,5%,0%,0%,0%,5%,0%,"Gibson, Mary Robinson",
ACCT,3120,104,Intermediate Fin Acct II (HON),67%,33%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",H
ACCT,3130,1,Analytics for Acct Dec Making,38%,42%,21%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3130,2,Analytics for Acct Dec Making,51%,37%,11%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3130,3,Analytics for Acct Dec Making,14%,56%,25%,3%,3%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,3130,4,Analytics for Acct Dec Making,17%,36%,36%,6%,3%,0%,0%,3%,0%,"Mammadov, Babak",
ACCT,3130,5,Analytics for Acct Dec Making,31%,43%,23%,3%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion",
ACCT,3130,6,Analytics for Acct Dec Making,34%,49%,17%,0%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion",
ACCT,3130,7,Analytics for Acct Dec Making,29%,56%,12%,3%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannion",
ACCT,3130,8,Analytics for Acct Dec Making,13%,53%,28%,8%,0%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,3130,9,Analytics for Acct Dec Making,40%,43%,18%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3220,1,Accounting Information Systems,26%,42%,21%,5%,0%,0%,0%,5%,0%,"Polk, Ryan Christopher",
ACCT,3220,2,Accounting Information Systems,15%,48%,25%,10%,3%,0%,0%,0%,0%,"Polk, Ryan Christopher",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Thursday, February 1, 2024",,,,,,,,,,,,,Page 3 of 135,
Grades Report for 202308,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
ACCT,3220,3,Accounting Information Systems,20%,55%,23%,0%,3%,0%,0%,0%,0%,"Polk, Ryan Christopher",
ACCT,3220,4,Accounting Information Systems,7%,26%,30%,19%,7%,0%,0%,11%,0%,"Maiberger, Philip A",
ACCT,4040,1,Individual Taxation,29%,58%,10%,2%,0%,0%,0%,0%,0%,"Gardner, Jesse",
ACCT,4040,2,Individual Taxation,30%,35%,28%,5%,0%,0%,0%,3%,0%,"Gardner, Jesse",
ACCT,4040,3,Individual Taxation,37%,39%,22%,0%,0%,0%,0%,2%,0%,"Yazzie, Courtney Elaine",
ACCT,4040,4,Individual Taxation,22%,44%,24%,4%,4%,0%,0%,2%,0%,"Yazzie, Courtney Elaine",
ACCT,4040,103,Individual Taxation (HON),67%,22%,11%,0%,0%,0%,0%,0%,0%,"Yazzie, Courtney Elaine",H
ACCT,4080,1,Retire & Estate Plan,63%,37%,0%,0%,0%,0%,0%,0%,0%,"Ledbetter, John Howard",
ACCT,4100,1,Reporting and Mgmt Control Sys,40%,43%,10%,3%,0%,0%,0%,5%,0%,"McPhee, Gregory Patrick",
ACCT,4100,2,Reporting and Mgmt Control Sys,32%,52%,10%,3%,3%,0%,0%,0%,0%,"McPhee, Gregory Patrick",
ACCT,4150,1,Auditing,50%,38%,13%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy Michael",
ACCT,4150,2,Auditing,45%,38%,18%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy Michael",
ACCT,8510,1,Tax Research,59%,38%,0%,0%,0%,0%,0%,3%,0%,"Garrison J, David Walter",
ACCT,8530,1,Adv Acct Problems,67%,24%,9%,0%,0%,0%,0%,0%,0%,"Pearse, Suzanne",
ACCT,8530,2,Adv Acct Problems,52%,32%,8%,0%,0%,0%,0%,8%,0%,"Pearse, Suzanne",
ACCT,8530,3,Adv Acct Problems,58%,25%,0%,0%,8%,0%,0%,8%,0%,"Pearse, Suzanne",
ACCT,8570,1,CPA Exam Review-B,0%,0%,0%,0%,0%,98%,0%,2%,0%,"Davis-Culler, Phebian L",
ACCT,8620,1,Financial Auditing,55%,45%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,8620,2,Financial Auditing,71%,29%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,8630,1,Forensics Analysis,57%,29%,14%,0%,0%,0%,0%,0%,0%,"Davis-Culler, Phebian L",
ACCT,8630,2,Forensics Analysis,50%,50%,0%,0%,0%,0%,0%,0%,0%,"Davis-Culler, Phebian L",
ACCT,8680,1,Advanced Accounting Analytics,56%,44%,0%,0%,0%,0%,0%,0%,0%,"Cussatt, Marc A",
ACCT,8680,2,Advanced Accounting Analytics,30%,67%,0%,0%,4%,0%,0%,0%,0%,"Cussatt, Marc A",
ACCT,8680,3,Advanced Accounting Analytics,25%,58%,13%,0%,0%,0%,0%,4%,0%,"Cussatt, Marc A",
ACCT,8720,1,Tax of Flowthroughs,40%,40%,16%,0%,0%,0%,0%,4%,0%,"Garrison J, David Walter",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Thursday, February 1, 2024",,,,,,,,,,,,,Page 4 of 135,
Grades Report for 202308,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
AGED,1020,1,Freshman Seminar,87%,7%,0%,0%,0%,0%,0%,7%,0%,"DiBenedetto, Catherine A",
AGED,2000,1,Agr Appl of Ed Tech,80%,7%,0%,0%,7%,0%,0%,7%,0%,"Layfield, Kevin D",
AGED,3030,1,Ag Ed Mech Tech,69%,25%,6%,0%,0%,0%,0%,0%,0%,"Cherry, Audie Lynn",
AGM,1010,1,Intro Ag Mech & Bus,71%,20%,4%,2%,4%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2050,1,Prin of Fabrication,21%,55%,11%,6%,5%,0%,0%,3%,0%,"Massey, Hunter F",
AGM,2200,1,Calc for Mechanized Agricult,34%,26%,29%,11%,0%,0%,0%,0%,0%,"Turner, Aaron Paul",
AGM,2210,1,Land Measurements,55%,35%,10%,0%,0%,0%,0%,0%,0%,"Burkett, Charles Dillan",
AGM,3010,1,Soil Water Conserv,44%,32%,18%,4%,0%,0%,0%,1%,0%,"Sawyer, Calvin B",
AGM,3050,1,Agricultural Safety,82%,15%,0%,3%,0%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,4000,1,Seminar in Ag Mech & Business,67%,33%,0%,0%,0%,0%,0%,0%,0%,"Turner, Aaron Paul",
AGM,4040,1,Grain Handling and Storage,63%,30%,7%,0%,0%,0%,0%,0%,0%,"Turner, Aaron Paul",
AGM,4060,1,Mech & Hydraulic Sys,21%,24%,53%,3%,0%,0%,0%,0%,0%,"Koc, Ali Bulent",
AGM,4600,1,Electrical Systems,49%,44%,8%,0%,0%,0%,0%,0%,0%,"McLamore, Eric S",
AGRB,2020,1,Agricultural Economics,19%,42%,23%,11%,3%,0%,0%,3%,0%,"Behler, Shane J",
AGRB,2050,1,Agriculture and Society,22%,30%,24%,15%,5%,0%,0%,5%,0%,"Vassalos, Michael",
AGRB,3570,1,Natural Resources Economics,13%,27%,17%,16%,12%,0%,0%,15%,0%,"Willis, David Brian",
AGRB,4080,1,Quant Agribusiness Analysis II,15%,23%,36%,23%,3%,0%,0%,0%,0%,"Thayer, Anastasia",
AGRB,4090,1,Commodity Futures Markets,6%,36%,33%,25%,0%,0%,0%,0%,0%,"Thayer, Anastasia",
AGRB,4120,1,Reg Econ Devel Theory & Policy,15%,28%,21%,26%,8%,0%,0%,3%,0%,"De Figueiredo Silva, Felipe",
AGRB,4520,1,Agricultural Policy,18%,24%,26%,28%,2%,0%,0%,2%,0%,"Vassalos, Michael",
AGRB,4910,1,"Int, Agrib & Comm & Rural Dev",90%,5%,5%,0%,0%,0%,0%,0%,0%,"Vassalos, Michael",
AGRB,8080,1,Empir Mthds for Ag Economists,60%,40%,0%,0%,0%,0%,0%,0%,0%,"De Figueiredo Silva, Felipe",
AL,3490,400,Principles of Coaching,64%,16%,12%,0%,0%,0%,0%,4%,4%,"Cadorette, Deborah Jo",
AL,3490,401,Principles of Coaching,76%,16%,4%,0%,0%,0%,0%,4%,0%,"Cadorette, Deborah Jo",
AL,3490,402,Principles of Coaching,40%,32%,12%,0%,0%,0%,0%,16%,0%,"Cadorette, Deborah Jo",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Thursday, February 1, 2024",,,,,,,,,,,,,Page 5 of 135,
Grades Report for 202308,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
AL,3490,403,Principles of Coaching,50%,42%,4%,0%,0%,0%,0%,4%,0%,"Connor, Clyde Keith",
AL,3490,405,Principles of Coaching,76%,20%,0%,0%,0%,0%,0%,4%,0%,"Fry, Edmond H",
AL,3490,406,Principles of Coaching,86%,9%,0%,0%,5%,0%,0%,0%,0%,"Whitrow, Nicholas Philip",
,,,,,,,,,,,,,Edward,
AL,3490,408,Principles of Coaching,80%,16%,4%,0%,0%,0%,0%,0%,0%,"Hickey, Justin M",
AL,3490,409,Principles of Coaching,88%,8%,0%,4%,0%,0%,0%,0%,0%,"Neuder, Joel P",
AL,3490,410,Principles of Coaching,80%,16%,4%,0%,0%,0%,0%,0%,0%,"Neuder, Joel P",
AL,3490,411,Principles of Coaching,52%,32%,8%,8%,0%,0%,0%,0%,0%,"Plumblee, John T",
AL,3490,412,Principles of Coaching,58%,38%,0%,4%,0%,0%,0%,0%,0%,"Plumblee, John T",
AL,3490,413,Principles of Coaching,48%,40%,12%,0%,0%,0%,0%,0%,0%,"Plumblee, John T",
AL,3490,414,Principles of Coaching,92%,8%,0%,0%,0%,0%,0%,0%,0%,"Yeargin, Richard Donell",
AL,3490,416,Principles of Coaching,70%,17%,4%,0%,4%,0%,0%,4%,0%,"Hickey, Justin M",
AL,3500,400,Sci Basis I/Ex Phy,23%,19%,42%,12%,4%,0%,0%,0%,0%,"Godfrey, Michael G",
AL,3500,401,Sci Basis I/Ex Phy,28%,48%,16%,4%,0%,0%,0%,4%,0%,"Godfrey, Michael G",
AL,3530,400,Athletic Injuries,60%,24%,12%,0%,0%,0%,0%,4%,0%,"Colbert, Isaac Sean",
AL,3530,401,Athletic Injuries,46%,38%,8%,4%,4%,0%,0%,0%,0%,"Colbert, Isaac Sean",
AL,3600,400,Hgh Sch Athl Ethical/Legal Iss,59%,23%,14%,5%,0%,0%,0%,0%,0%,"Connor, Clyde Keith",
AL,3610,400,Admin/Org of Athletic Programs,92%,4%,0%,0%,0%,0%,0%,4%,0%,"Oates, Henry C.",
AL,3610,401,Admin/Org of Athletic Programs,52%,32%,16%,0%,0%,0%,0%,0%,0%,"Oates, Henry C.",
AL,3610,402,Admin/Org of Athletic Programs,58%,31%,8%,4%,0%,0%,0%,0%,0%,"Moore, Edward F",
AL,3610,403,Admin/Org of Athletic Programs,58%,21%,8%,4%,0%,0%,0%,8%,0%,"Moore, Edward F",
AL,3620,400,Psychology of Coaching,52%,20%,16%,8%,4%,0%,0%,0%,0%,"Carter, Natalie Anne",
AL,3620,401,Psychology of Coaching,38%,31%,19%,8%,0%,0%,0%,4%,0%,"Carter, Natalie Anne",
AL,3620,402,Psychology of Coaching,48%,24%,24%,0%,0%,0%,0%,4%,0%,"Carter, Natalie Anne",
AL,3720,400,Coaching Basketball,74%,22%,0%,0%,0%,0%,0%,4%,0%,"Fry, Edmond H",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Thursday, February 1, 2024",,,,,,,,,,,,,Page 6 of 135,
Grades Report for 202308,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
AL,3740,400,Coaching Football,63%,21%,13%,4%,0%,0%,0%,0%,0%,"Ellison, Kirk W",
AL,3740,401,Coaching Football,72%,28%,0%,0%,0%,0%,0%,0%,0%,"Ellison, Kirk W",
AL,3750,400,Coaching Soccer,84%,4%,0%,0%,4%,0%,0%,8%,0%,"Hickey, Justin M",
AL,3760,400,Coaching Strength/Conditioning,69%,19%,0%,0%,4%,0%,0%,4%,4%,"Fry, Edmond H",
AL,3760,401,Coaching Strength/Conditioning,69%,19%,4%,0%,0%,0%,0%,8%,0%,"Fry, Edmond H",
AL,4000,400,Athletic Leadership Internship,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Cadorette, Deborah Jo",
AL,4380,401,Coaching CC and T&F,79%,8%,0%,0%,8%,0%,0%,4%,0%,"Carter, Kelly Lamar",
AL,4380,402,"Offi. FB, Basketball, Baseball",52%,28%,16%,4%,0%,0%,0%,0%,0%,"Connor, Clyde Keith",
AL,8380,400,Gender & Equality in Sports,85%,10%,5%,0%,0%,0%,0%,0%,0%,"Butler, Janna Magette",
AL,8380,401,Compliance in Athletics,60%,15%,15%,0%,10%,0%,0%,0%,0%,"Young, Kyle McLendon",
AL,8380,402,Coaching Athl w Disabilities,67%,22%,6%,0%,6%,0%,0%,0%,0%,"Pitts, Rosalyn Mew",
AL,8440,400,Surv of Res Mthds in Athletics,80%,15%,0%,0%,5%,0%,0%,0%,0%,"Stokowski, Sarah E",
AL,8440,401,Surv of Res Mthds in Athletics,85%,15%,0%,0%,0%,0%,0%,0%,0%,"Stokowski, Sarah E",
AL,8440,402,Surv of Res Mthds in Athletics,71%,29%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G",
AL,8490,400,Athletic Leadership Dev,80%,10%,5%,0%,5%,0%,0%,0%,0%,"Butler, Janna Magette",
AL,8490,402,Athletic Leadership Dev,84%,16%,0%,0%,0%,0%,0%,0%,0%,"Butler, Janna Magette",
AL,8490,403,Athletic Leadership Dev,58%,37%,5%,0%,0%,0%,0%,0%,0%,"Butler, Janna Magette",
AL,8640,400,Ethical Iss in Collegiate Athl,82%,18%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G",
ANTH,2010,1,Introduction to Anthropology,58%,27%,10%,4%,1%,0%,0%,0%,0%,"Tremblay, Suzanna Eve",
ANTH,2010,2,Introduction to Anthropology,76%,19%,3%,1%,0%,0%,0%,0%,0%,"Ambikar, Rucha Pramod",
ANTH,2010,3,Introduction to Anthropology,24%,34%,24%,11%,0%,0%,0%,8%,0%,"Wu, Yi",
ANTH,2010,4,Introduction to Anthropology,59%,26%,7%,4%,4%,0%,0%,0%,0%,"Markus, David M",
ANTH,2010,5,Introduction to Anthropology,31%,29%,14%,11%,3%,0%,0%,11%,0%,"Wu, Yi",
ANTH,2010,6,Introduction to Anthropology,36%,41%,14%,2%,0%,0%,0%,7%,0%,"Rapaport, Lisa G",
ANTH,3010,1,Cultural Anthropology,19%,33%,26%,10%,0%,0%,0%,7%,5%,"Coggeshall, John M",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Thursday, February 1, 2024",,,,,,,,,,,,,Page 7 of 135,
Grades Report for 202308,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
ANTH,3320,1,World Archaeology,23%,62%,8%,3%,0%,0%,0%,5%,0%,"Markus, David M",
ANTH,3510,1,Biological Anthropology,74%,5%,16%,0%,5%,0%,0%,0%,0%,"Tremblay, Suzanna Eve",
ANTH,3530,1,Forensic Anthropology,50%,32%,14%,5%,0%,0%,0%,0%,0%,"Tremblay, Suzanna Eve",
ANTH,4280,1,"Law, Culture and Society",39%,24%,12%,6%,6%,0%,0%,12%,0%,"Wu, Yi",
APEC,8220,1,Public Policy Econ,60%,40%,0%,0%,0%,0%,0%,0%,0%,"Willis, David Brian",
ARCH,1010,1,Introduction to Architecture,90%,5%,2%,2%,0%,0%,0%,2%,0%,"Hambright-Belue, Sallie",
,,,,,,,,,,,,,Rebecca,
ARCH,2510,1,Arch Foundations I,63%,19%,19%,0%,0%,0%,0%,0%,0%,"Terim, Berrin",
ARCH,2510,2,Arch Foundations I,64%,14%,7%,14%,0%,0%,0%,0%,0%,"Floyd, Harrison Michael",
ARCH,2510,3,Arch Foundations I,50%,29%,7%,0%,14%,0%,0%,0%,0%,"Jefferies, Byron B",
ARCH,2510,4,Arch Foundations I,57%,36%,7%,0%,0%,0%,0%,0%,0%,"Beerman, Bryan Mathew",
ARCH,2510,5,Arch Foundations I,64%,14%,21%,0%,0%,0%,0%,0%,0%,"Peller, Asa Leland",
ARCH,2510,6,Arch Foundations I,79%,21%,0%,0%,0%,0%,0%,0%,0%,"Goel, Swati",
ARCH,2510,7,Arch Foundations I,64%,21%,0%,14%,0%,0%,0%,0%,0%,"Sutherland, Timothy Shan",
ARCH,2510,8,Arch Foundations I,86%,14%,0%,0%,0%,0%,0%,0%,0%,"Voltaire, Chloe",
ARCH,2700,1,Structures I,83%,17%,0%,0%,0%,0%,0%,0%,0%,"Dai, Sida",
ARCH,2710,1,Structures II,20%,40%,33%,0%,0%,0%,0%,7%,0%,"Trick, Amy Christine",
ARCH,3040,1,Modern Arch in Global Context,70%,28%,2%,0%,0%,0%,0%,0%,0%,"Mihalache, Andreea M",
ARCH,3500,1,Intro to Urban Contexts,59%,35%,0%,0%,0%,0%,0%,6%,0%,"Hecker, Douglas A.",
ARCH,3500,2,Intro to Urban Contexts,63%,25%,13%,0%,0%,0%,0%,0%,0%,"Wilkerson, Julie Poe",
ARCH,3500,3,Intro to Urban Contexts,69%,31%,0%,0%,0%,0%,0%,0%,0%,"Mendez, Clarissa A",
ARCH,3500,4,Intro to Urban Contexts,50%,50%,0%,0%,0%,0%,0%,0%,0%,"Roberts, Kendall Maurice",
ARCH,3500,5,Intro to Urban Contexts,38%,63%,0%,0%,0%,0%,0%,0%,0%,"Kiser, Kyle David",
ARCH,3500,6,Intro to Urban Contexts,63%,38%,0%,0%,0%,0%,0%,0%,0%,"Brown, Timothy Burl",
ARCH,3500,7,Intro to Urban Contexts,75%,25%,0%,0%,0%,0%,0%,0%,0%,"Dorsey, Rayshad Earnest",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
