Grades Report for 202301,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3130,1,Analytics for Acct Dec Mak,23%,45%,30%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Hawk, Holly",
,,,,,,,,,,,,,,,,Rhiannion,
ACCT,3130,2,Analytics for Acct Dec Mak,40%,40%,18%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Hawk, Holly",
,,,,,,,,,,,,,,,,Rhiannion,
ACCT,3130,3,Analytics for Acct Dec Mak,21%,60%,17%,2%,0%,0%,0%,0%,0%,0%,0%,0%,"Hawk, Holly",
,,,,,,,,,,,,,,,,Rhiannion,
ACCT,3130,4,Analytics for Acct Dec Mak,30%,45%,23%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,3130,5,Analytics for Acct Dec Mak,33%,54%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,3130,6,Analytics for Acct Dec Mak,35%,50%,13%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,3220,1,Accounting Information Sy,0%,23%,43%,9%,14%,0%,0%,11%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3220,2,Accounting Information Sy,14%,34%,29%,3%,0%,0%,0%,20%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3220,3,Accounting Information Sy,25%,28%,31%,3%,3%,0%,0%,11%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3220,4,Accounting Information Sy,11%,34%,14%,6%,6%,0%,0%,29%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,4040,1,Individual Taxation,31%,38%,28%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Yazzie, Courtney",
,,,,,,,,,,,,,,,,Elaine,
ACCT,4040,2,Individual Taxation,44%,38%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Yazzie, Courtney",
,,,,,,,,,,,,,,,,Elaine,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Wednesday, July 5, 2023",,,,,,,,,,,,,,,,Page 4 of 151,
Grades Report for 202301,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,4040,3,Individual Taxation,49%,42%,7%,2%,0%,0%,0%,0%,0%,0%,0%,0%,"Gibson, Mary",
,,,,,,,,,,,,,,,,Robinson,
ACCT,4040,4,Individual Taxation,48%,43%,8%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Gibson, Mary",
,,,,,,,,,,,,,,,,Robinson,
ACCT,4100,1,Reporting and Mgmt Contr,32%,47%,16%,5%,0%,0%,0%,0%,0%,0%,0%,0%,"McPhee, Gregory",
,,,,,,,,,,,,,,,,Patrick,
ACCT,4100,2,Reporting and Mgmt Contr,18%,55%,24%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"McPhee, Gregory",
,,,,,,,,,,,,,,,,Patrick,
ACCT,4150,1,Auditing,28%,46%,26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy",
,,,,,,,,,,,,,,,,Michael,
ACCT,4150,2,Auditing,38%,48%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy",
,,,,,,,,,,,,,,,,Michael,
ACCT,8520,1,Fin Acct Theory/Res,28%,59%,6%,0%,6%,0%,0%,0%,0%,0%,0%,0%,"Welton, Ralph",
,,,,,,,,,,,,,,,,Edward,
ACCT,8520,2,Fin Acct Theory/Res,23%,64%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Welton, Ralph",
,,,,,,,,,,,,,,,,Edward,
ACCT,8540,1,Prof Responsibility,48%,48%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,8540,2,Prof Responsibility,62%,38%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,8540,3,Prof Responsibility,32%,68%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,8560,1,CPA Exam Review-A,0%,0%,0%,0%,0%,96%,2%,1%,0%,0%,0%,0%,"Pearse, Suzanne",
ACCT,8620,1,Financial Auditing,43%,52%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,8620,2,Financial Auditing,76%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,8710,1,Corporate Taxation,39%,57%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Dalton, Derek W.",
ACCT,8710,2,Corporate Taxation,48%,48%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Dalton, Derek W.",
ACCT,8710,3,Corporate Taxation,38%,55%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Dalton, Derek W.",
ACCT,8730,1,Intl/Spec Tax Topic,45%,45%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Kisska-Schulze,",
,,,,,,,,,,,,,,,,Kathryn,
AGED,1000,1,Orientation & Field Experie,86%,0%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,"Fravel, Philip M",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Wednesday, July 5, 2023",,,,,,,,,,,,,,,,Page 5 of 151,
Grades Report for 202301,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AGM,2050,1,Prin of Fabrication,15%,53%,16%,7%,5%,0%,0%,4%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2060,1,Machinery Management,23%,46%,26%,3%,0%,0%,0%,3%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2210,1,Land Measurements,56%,25%,11%,7%,1%,0%,0%,0%,0%,0%,0%,0%,"Teddy, Brennan",
,,,,,,,,,,,,,,,,Edward,
AGM,4020,1,Irrigation System Design,32%,45%,17%,6%,0%,0%,0%,0%,0%,0%,0%,0%,"Privette, Charles V",
AGM,4100,1,Precision Ag Tech,38%,44%,16%,2%,0%,0%,0%,0%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,4520,1,Mobile Power,27%,40%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Koc, Ali Bulent",
AGM,4720,1,Capstone,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Turner, Aaron Paul",
AGRB,2020,1,Agricultural Economics,14%,21%,37%,8%,12%,0%,0%,8%,0%,0%,0%,0%,"Vertino De Queiroz,",
,,,,,,,,,,,,,,,,Pedro Wesley,
AGRB,2050,1,Agriculture and Society,38%,42%,17%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"Vertino De Queiroz,",
,,,,,,,,,,,,,,,,Pedro Wesley,
AGRB,2080,1,Quant Agribusiness Analysi,31%,29%,26%,12%,3%,0%,0%,0%,0%,0%,0%,0%,"Lovern, Maryann",
,,,,,,,,,,,,,,,,Mishelle,
AGRB,3190,1,Agribusiness Management,24%,24%,27%,20%,2%,0%,0%,2%,0%,0%,0%,0%,"Vassalos, Michael",
AGRB,3510,1,Prin of Agricultural Sales M,24%,49%,24%,0%,0%,0%,0%,2%,0%,0%,0%,0%,"Vertino De Queiroz,",
,,,,,,,,,,,,,,,,Pedro Wesley,
AGRB,3570,1,Natural Resources Econom,9%,36%,30%,9%,11%,0%,0%,6%,0%,0%,0%,0%,"Willis, David Brian",
AGRB,4560,1,Prices,15%,20%,10%,35%,5%,0%,0%,15%,0%,0%,0%,0%,"De Figueiredo Silva,",
,,,,,,,,,,,,,,,,Felipe,
AGRB,4570,1,"Natural Res Use, Tech & P",21%,16%,26%,26%,11%,0%,0%,0%,0%,0%,0%,0%,"Willis, David Brian",
AGRB,4600,1,Agricultural Finance,20%,17%,33%,23%,7%,0%,0%,0%,0%,0%,0%,0%,"Hassett, Anastasia",
,,,,,,,,,,,,,,,,Thayer,
AGSC,8890,1,Rsrch Methods in Agri Scie,57%,36%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,"Karthikeyan,",
,,,,,,,,,,,,,,,,Raghupathy,
AL,3490,400,Principles of Coaching,83%,8%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Yeargin, Richard",
,,,,,,,,,,,,,,,,Donell,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Wednesday, July 5, 2023",,,,,,,,,,,,,,,,Page 6 of 151,
Grades Report for 202301,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AL,3490,401,Principles of Coaching,81%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Yeargin, Richard",
,,,,,,,,,,,,,,,,Donell,
AL,3490,402,Principles of Coaching,58%,21%,13%,0%,4%,0%,0%,4%,0%,0%,0%,0%,"Yeargin, Richard",
,,,,,,,,,,,,,,,,Donell,
AL,3490,403,Principles of Coaching,84%,12%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Yeargin, Richard",
,,,,,,,,,,,,,,,,Donell,
AL,3490,404,Principles of Coaching,60%,28%,8%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,3490,405,Principles of Coaching,84%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,3490,406,Principles of Coaching,77%,19%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Connor, Clyde Keith",
AL,3490,407,Principles of Coaching,38%,38%,19%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Plumblee, John T",
AL,3490,408,Principles of Coaching,64%,12%,8%,16%,0%,0%,0%,0%,0%,0%,0%,0%,"Plumblee, John T",
AL,3490,409,Principles of Coaching,52%,43%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Plumblee, John T",
AL,3490,412,Principles of Coaching,92%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3490,413,Principles of Coaching,76%,16%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3490,414,Principles of Coaching,84%,4%,4%,0%,0%,0%,0%,0%,8%,0%,0%,0%,"Whitrow, Nicholas",
,,,,,,,,,,,,,,,,Philip Edward,
AL,3500,400,Sci Basis I/Ex Phy,40%,16%,32%,12%,0%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G",
AL,3500,401,Sci Basis I/Ex Phy,20%,36%,36%,8%,0%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G",
AL,3520,400,Kinesiology,30%,30%,9%,4%,4%,0%,0%,22%,0%,0%,0%,0%,"Colbert, Isaac Sean",
AL,3530,400,Athletic Injuries,20%,40%,32%,4%,4%,0%,0%,0%,0%,0%,0%,0%,"Colbert, Isaac Sean",
AL,3530,401,Athletic Injuries,40%,20%,32%,0%,4%,0%,0%,4%,0%,0%,0%,0%,"Colbert, Isaac Sean",
AL,3600,400,Hgh Sch Athl Ethical/Legal I,68%,28%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Connor, Clyde Keith",
AL,3610,400,Admin/Org of Athletic Pro,84%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Oates, Henry C.",
AL,3610,401,Admin/Org of Athletic Pro,84%,8%,4%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Oates, Henry C.",
AL,3610,402,Admin/Org of Athletic Pro,77%,12%,4%,0%,4%,0%,0%,4%,0%,0%,0%,0%,"Moore, Edward F",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Wednesday, July 5, 2023",,,,,,,,,,,,,,,,Page 7 of 151,
Grades Report for 202301,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AL,3610,403,Admin/Org of Athletic Pro,76%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Moore, Edward F",
AL,3620,400,Psychology of Coaching,48%,24%,24%,4%,0%,0%,0%,0%,0%,0%,0%,0%,"Carter, Natalie Anne",
AL,3620,401,Psychology of Coaching,44%,20%,36%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Carter, Natalie Anne",
AL,3620,402,Psychology of Coaching,26%,32%,32%,0%,11%,0%,0%,0%,0%,0%,0%,0%,"Carter, Natalie Anne",
AL,3720,400,Coaching Basketball,73%,19%,4%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3740,400,Coaching Football,76%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Ellison, Kirk W",
AL,3740,401,Coaching Football,78%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Ellison, Kirk W",
AL,3750,400,Coaching Soccer,68%,12%,8%,8%,4%,0%,0%,0%,0%,0%,0%,0%,"Hickey, Justin M",
AL,3760,400,Coaching Strength/Conditi,69%,19%,4%,0%,4%,0%,0%,0%,4%,0%,0%,0%,"Fry, Edmond H",
AL,3760,401,Coaching Strength/Conditi,63%,25%,8%,4%,0%,0%,0%,0%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3770,400,Coaching Track & Field,91%,0%,4%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Carter, Kelly Lamar",
AL,4000,400,Athletic Leadership Interns,0%,0%,0%,0%,0%,95%,0%,5%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,4380,400,Student Athlete Developm,57%,38%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Stokowski, Sarah E",
AL,4380,402,High School Sports Officiati,74%,11%,11%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Connor, Clyde Keith",
AL,8490,400,Athletic Leadership Dev,33%,67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Butler, Janna",
,,,,,,,,,,,,,,,,Magette,
AL,8500,400,Principles Strength and Co,70%,26%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G",
AL,8560,400,Intercoll Athl Personnel M,86%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Young, Kyle",
,,,,,,,,,,,,,,,,McLendon,
AL,8560,401,Intercoll Athl Personnel M,65%,30%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,"Young, Kyle",
,,,,,,,,,,,,,,,,McLendon,
AL,8580,400,Sport Operations and Cult,74%,21%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Carlson, Julianna",
,,,,,,,,,,,,,,,,Davis,
AL,8580,401,Sport Operations and Cult,75%,20%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Carlson, Julianna",
,,,,,,,,,,,,,,,,Davis,
AL,8630,400,Socio Dynam in Intercol At,91%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
